Model,|S_m|,TP,FP,FN,P(%),R(%),F1(%)
Claude3.7,36,16,20,33,44.44444444444444,32.6530612244898,37.647058823529406
Llama4,15,10,5,39,66.66666666666666,20.408163265306122,31.250000000000004
ChatGPT-4o,10,9,1,40,90.0,18.367346938775512,30.50847457627119
Qwen3,11,9,2,40,81.81818181818183,18.367346938775512,30.000000000000004
Mistral,16,9,7,40,56.25,18.367346938775512,27.692307692307697
ChatGPT-o3,16,7,9,42,43.75,14.285714285714285,21.53846153846154
Gemini-2.5-Pro-Preview-05-06,11,5,6,44,45.45454545454545,10.204081632653061,16.666666666666668
DeepSeek(R1),6,4,2,45,66.66666666666666,8.16326530612245,14.545454545454545
Grok3,6,4,2,45,66.66666666666666,8.16326530612245,14.545454545454545
