k,coverage,precision(%),recall(%),F1(%),TP,FP,FN
2,274,17.88321167883212,100.0,30.3405572755418,49,225,0
3,152,32.23684210526316,100.0,48.75621890547264,49,103,0
4,102,48.03921568627451,100.0,64.90066225165563,49,53,0
5,54,90.74074074074075,100.0,95.14563106796116,49,5,0
6,35,88.57142857142857,63.26530612244898,73.80952380952381,31,4,18
7,21,90.47619047619048,38.775510204081634,54.28571428571429,19,2,30
8,13,92.3076923076923,24.489795918367346,38.70967741935483,12,1,37
9,4,100.0,8.16326530612245,15.09433962264151,4,0,45
